game,res,ncnt,remcnt,donecnt
0,1,15026,0,52
1,0,31449,4,17
2,0,5516,8,17
3,0,9685,9,18
4,0,1437,12,26
5,0,4504,18,7
6,1,8909,0,52
7,0,1184,22,3
8,0,676,20,9
9,1,11209,0,52
10,1,35044,0,52
11,0,4466,11,24
12,1,6258,0,52
13,1,3509,0,52
14,1,14178,0,52
15,0,3474,14,8
16,0,30598,9,11
17,1,4319,0,52
18,0,870,21,11
19,1,35333,0,52
20,1,23275,0,52
21,1,40159,0,52
22,1,23008,0,52
23,1,10949,0,52
24,0,4726,7,16
25,0,52600,1,33
26,0,36621,10,8
27,0,878,23,5
28,0,5668,6,11
29,1,4921,0,52
30,0,17623,7,19
31,0,30074,4,13
32,1,12784,0,52
33,0,773,18,11
34,1,8341,0,52
35,0,4605,14,11
36,0,14688,1,32
37,0,3708,13,9
38,0,570,24,5
39,0,20060,12,11
40,1,4278,0,52
41,1,32845,0,52
42,0,164,33,5
43,1,12383,0,52
44,0,3573,16,12
45,0,28769,4,21
46,1,29918,0,52
47,0,18859,12,8
48,1,20280,0,52
49,1,28395,0,52
50,0,14901,7,15
51,0,14269,9,13
52,1,16036,0,52
53,0,214,30,5
54,1,5836,0,52
55,1,20027,0,52
56,0,13228,7,18
57,0,1504,22,4
58,1,8893,0,52
59,1,8013,0,52
60,1,20176,0,52
61,1,31293,0,52
62,0,5029,14,12
63,1,37212,0,52
64,0,4748,12,13
65,1,4917,0,52
66,1,17649,0,52
67,1,22463,0,52
68,1,12812,0,52
69,1,31835,0,52
70,0,1009,19,12
71,1,6426,0,52
72,0,1286,23,4
73,0,9324,11,11
74,1,15462,0,52
75,1,21395,0,52
76,0,14558,11,11
77,0,915,17,10
78,0,4434,6,24
79,1,10904,0,52
80,0,16323,7,18
81,1,7105,0,52
82,0,1792,22,6
83,0,46636,2,28
84,0,12461,6,16
85,0,2870,23,4
86,0,1576,11,20
87,0,2868,19,4
88,0,6855,9,18
89,0,480,31,9
90,0,2404,5,30
91,1,8282,0,52
92,0,2133,9,27
93,1,16798,0,52
94,1,7543,0,52
95,0,5032,4,9
96,0,4580,22,3
97,1,4461,0,52
98,1,3836,0,52
99,1,16017,0,52
100,1,40722,0,52
101,1,8160,0,52
102,1,8281,0,52
103,0,4681,10,23
104,0,1630,12,14
105,0,2836,19,7
106,1,12219,0,52
107,0,91,33,4
108,1,48275,0,52
109,1,26257,0,52
110,0,1634,17,14
111,1,16953,0,52
112,1,78671,0,52
113,0,3686,2,30
114,0,5898,3,24
115,1,1935,0,52
116,1,26608,0,52
117,1,31442,0,52
118,1,19048,0,52
119,0,16750,9,19
120,1,19046,0,52
121,1,19586,0,52
122,1,7046,0,52
123,0,16832,2,34
124,0,18672,10,16
125,0,7459,1,34
126,0,6828,10,16
127,0,11862,9,10
128,0,6718,5,16
129,1,3955,0,52
130,1,22239,0,52
131,0,4901,14,7
132,1,14053,0,52
133,1,15166,0,52
134,0,22529,4,23
135,0,1454,20,9
136,1,12023,0,52
137,0,1544,18,9
138,1,54481,0,52
139,1,22672,0,52
140,1,3288,0,52
141,0,1279,3,33
142,1,51213,0,52
143,0,781,20,14
144,1,31066,0,52
145,0,29954,9,10
146,1,4834,0,52
147,1,11552,0,52
148,1,26554,0,52
149,0,3417,5,24
150,0,2991,16,15
151,1,23315,0,52
152,1,13944,0,52
153,1,6743,0,52
154,0,617,13,13
155,1,28199,0,52
156,0,19374,14,9
157,1,10420,0,52
158,0,577,29,4
159,1,34382,0,52
160,1,7407,0,52
161,0,2160,3,38
162,1,10306,0,52
163,0,382,28,4
164,0,428,19,10
165,1,11220,0,52
166,0,43129,6,9
167,0,1299,21,5
168,1,13909,0,52
169,1,17613,0,52
170,1,7157,0,52
171,1,41950,0,52
172,1,26230,0,52
173,1,6507,0,52
174,0,1506,25,8
175,1,13750,0,52
176,0,9279,6,10
177,0,2681,19,13
178,0,2411,18,7
179,0,8242,3,22
180,1,9832,0,52
181,0,553,19,12
182,0,793,28,5
183,0,2882,5,33
184,1,24251,0,52
185,1,7031,0,52
186,0,14845,4,25
187,1,8295,0,52
188,1,36334,0,52
189,0,6294,12,11
190,1,9313,0,52
191,0,5805,5,27
192,0,7551,10,10
193,1,42133,0,52
194,1,30647,0,52
195,0,1205,10,13
196,0,6401,17,14
197,1,3747,0,52
198,0,18440,2,38
199,0,2683,21,7
200,0,2455,23,1
201,1,47779,0,52
202,1,26341,0,52
203,1,4084,0,52
204,0,33812,5,21
205,0,1847,9,20
206,0,338,27,4
207,1,54841,0,52
208,1,29778,0,52
209,0,511,27,4
210,0,2481,9,18
211,1,37556,0,52
212,1,26015,0,52
213,1,24353,0,52
214,0,431,22,12
215,0,2694,17,10
216,0,616,30,2
217,1,30959,0,52
218,0,2246,13,8
219,1,15956,0,52
220,1,35366,0,52
221,0,13073,5,14
222,0,2294,20,7
223,1,38342,0,52
224,1,15117,0,52
225,0,4613,3,14
226,0,3421,6,16
227,1,18696,0,52
228,0,19168,11,16
229,0,13957,5,23
230,1,50208,0,52
231,1,45277,0,52
232,1,7432,0,52
233,0,302,24,18
234,1,7158,0,52
235,1,15285,0,52
236,0,15524,8,17
237,0,2669,8,15
238,1,10622,0,52
239,1,19195,0,52
240,0,270,33,4
241,0,2380,22,7
242,1,33027,0,52
243,0,883,22,11
244,0,7299,12,19
245,1,79692,0,52
246,1,6177,0,52
247,0,5346,9,12
248,1,32283,0,52
249,1,10829,0,52
250,1,8864,0,52
251,0,12279,10,18
252,1,16232,0,52
253,1,49777,0,52
254,0,2036,15,14
255,1,4412,0,52
256,0,12033,6,13
257,1,4998,0,52
258,0,11179,6,6
259,0,66891,7,18
260,1,24476,0,52
261,0,6045,4,18
262,0,48368,8,20
263,1,6228,0,52
264,1,34131,0,52
265,1,26076,0,52
266,1,77675,0,52
267,1,7412,0,52
268,0,4703,3,30
269,1,6303,0,52
270,1,16090,0,52
271,1,5290,0,52
272,1,45743,0,52
273,1,11344,0,52
274,1,31895,0,52
275,1,51298,0,52
276,0,785,22,6
277,0,1668,18,9
278,0,16410,7,14
279,1,28273,0,52
280,1,22029,0,52
281,0,603,24,10
282,0,1734,10,15
283,0,9268,7,8
284,1,7467,0,52
285,0,22327,7,10
286,0,25934,3,30
287,1,10525,0,52
288,0,3668,15,5
289,0,11801,9,13
290,1,6955,0,52
291,0,23857,8,19
292,0,814,23,10
293,0,1348,29,6
294,1,36525,0,52
295,1,28031,0,52
296,1,9655,0,52
297,0,1277,16,10
298,0,1560,19,8
299,1,28500,0,52
300,1,36505,0,52
301,0,1288,16,10
302,1,13664,0,52
303,1,28599,0,52
304,1,11313,0,52
305,1,20463,0,52
306,0,5335,1,48
307,0,64,41,0
308,1,12371,0,52
309,1,5188,0,52
310,0,5015,17,13
311,1,18208,0,52
312,1,28777,0,52
313,1,15896,0,52
314,1,24722,0,52
315,0,8478,13,7
316,1,45358,0,52
317,0,14880,8,27
318,1,11455,0,52
319,0,4472,13,9
320,0,1517,15,20
321,1,13552,0,52
322,1,50805,0,52
323,0,3231,18,16
324,1,9424,0,52
325,0,4142,2,21
326,1,10229,0,52
327,0,5396,8,5
328,0,161,35,2
329,0,7333,14,12
330,1,11799,0,52
331,1,23431,0,52
332,0,1860,9,13
333,0,5719,10,9
334,1,18467,0,52
335,0,8759,16,8
336,1,73800,0,52
337,1,29668,0,52
338,0,4734,4,15
339,0,821,23,11
340,0,2583,21,7
341,1,11658,0,52
342,0,17549,5,13
343,0,423,29,5
344,0,8768,5,22
345,0,7753,15,11
346,1,21871,0,52
347,1,11156,0,52
348,1,30504,0,52
349,1,52659,0,52
350,1,5620,0,52
351,1,2817,0,52
352,1,22232,0,52
353,0,18575,8,14
354,0,1885,10,9
355,1,10443,0,52
356,0,834,19,14
357,0,12767,14,12
358,0,1800,2,20
359,1,10602,0,52
360,0,4864,7,22
361,0,5857,9,9
362,1,16388,0,52
363,1,5186,0,52
364,1,14487,0,52
365,0,1725,10,22
366,1,8667,0,52
367,0,15356,7,23
368,0,29640,11,15
369,1,17254,0,52
370,0,1656,16,8
371,0,19690,5,13
372,0,10667,13,12
373,0,1320,20,9
374,0,10804,8,17
375,0,20012,5,22
376,0,1076,25,4
377,0,1240,18,10
378,1,11113,0,52
379,1,5798,0,52
380,0,1583,21,4
381,0,3972,10,14
382,0,2282,13,9
383,0,10456,5,11
384,0,33946,5,28
385,0,2351,20,7
386,0,15506,3,23
387,0,16839,6,22
388,0,19378,11,9
389,0,16957,2,32
390,0,1369,13,13
391,1,26236,0,52
392,0,3935,14,6
393,1,4474,0,52
394,0,1114,24,4
395,1,53194,0,52
396,1,36438,0,52
397,1,10084,0,52
398,1,13256,0,52
399,1,620,0,52
400,0,4305,6,18
401,0,3276,18,5
402,0,1786,15,10
403,0,46653,7,11
404,0,547,15,17
405,0,1207,22,4
406,1,13353,0,52
407,0,15484,5,19
408,0,486,26,6
409,0,1585,19,10
410,0,9172,6,12
411,1,7255,0,52
412,0,526,23,8
413,0,20250,11,13
414,0,3445,13,21
415,0,829,29,5
416,1,20979,0,52
417,0,210,32,6
418,0,3571,3,30
419,0,8667,5,25
420,0,1288,15,12
421,1,26665,0,52
422,0,1034,20,11
423,1,11627,0,52
424,1,28373,0,52
425,0,28631,8,8
426,1,17000,0,52
427,1,15180,0,52
428,0,8144,11,12
429,1,18014,0,52
430,1,25976,0,52
431,1,17368,0,52
432,0,1021,23,9
433,1,18688,0,52
434,0,911,11,15
435,0,906,15,15
436,1,13655,0,52
437,1,3117,0,52
438,1,21138,0,52
439,0,2087,17,8
440,0,6048,11,8
441,0,9368,13,12
442,0,3195,16,8
443,1,7670,0,52
444,1,7667,0,52
445,0,921,20,9
446,0,1671,27,2
447,0,1432,17,7
448,1,22811,0,52
449,1,26503,0,52
450,0,1817,18,15
451,1,15167,0,52
452,0,10802,13,8
453,1,4831,0,52
454,1,30939,0,52
455,0,6741,5,15
456,1,9126,0,52
457,0,3365,15,13
458,0,13937,5,14
459,0,31357,9,7
460,1,8404,0,52
461,1,8465,0,52
462,0,4916,3,15
463,0,1061,27,4
464,0,51393,1,29
465,1,13678,0,52
466,0,11973,8,7
467,1,43106,0,52
468,0,33675,8,8
469,1,26761,0,52
470,0,5430,5,22
471,1,2403,0,52
472,1,22593,0,52
473,1,9008,0,52
474,0,3892,17,13
475,0,3337,11,7
476,1,7146,0,52
477,0,4140,4,20
478,1,5011,0,52
479,1,22230,0,52
480,0,6553,7,22
481,0,323,32,5
482,0,3847,6,26
483,0,48601,1,35
484,1,9930,0,52
485,1,11299,0,52
486,1,4548,0,52
487,0,347,31,6
488,1,18074,0,52
489,0,9289,5,30
490,1,42191,0,52
491,1,11810,0,52
492,0,5673,5,11
493,1,12978,0,52
494,0,1284,23,4
495,0,18109,11,13
496,1,4633,0,52
497,0,17177,6,23
498,0,2216,13,12
499,1,42113,0,52
500,0,4489,7,21
501,1,13697,0,52
502,0,16,42,3
503,1,14620,0,52
504,1,18136,0,52
505,0,71891,1,39
506,1,30563,0,52
507,0,1055,23,14
508,0,1157,17,11
509,0,2539,12,12
510,0,288,27,9
511,1,27287,0,52
512,1,24427,0,52
513,1,17626,0,52
514,0,2238,16,16
515,0,3928,8,15
516,1,27865,0,52
517,1,21490,0,52
518,1,5136,0,52
519,1,30469,0,52
520,0,67664,2,34
521,1,8698,0,52
522,1,12039,0,52
523,0,1228,14,9
524,1,9314,0,52
525,0,8963,8,11
526,1,3431,0,52
527,0,33242,4,17
528,1,6651,0,52
529,0,2454,3,43
530,0,13303,3,18
531,1,23034,0,52
532,1,19972,0,52
533,0,19144,2,34
534,1,24061,0,52
535,1,17326,0,52
536,1,14446,0,52
537,0,4373,8,13
538,0,912,23,6
539,0,582,20,6
540,0,16022,1,37
541,0,3952,17,5
542,1,29358,0,52
543,0,1178,17,11
544,0,10025,5,29
545,1,12924,0,52
546,0,1259,23,3
547,0,46,34,4
548,0,562,24,6
549,0,33581,4,22
550,1,22488,0,52
551,0,401,28,11
552,0,301,29,8
553,0,15698,16,11
554,0,726,18,15
555,1,11697,0,52
556,0,17334,2,23
557,0,77804,6,14
558,0,21810,5,24
559,0,2239,5,19
560,0,9215,12,8
561,0,5494,4,30
562,1,84397,0,52
563,1,20202,0,52
564,1,11627,0,52
565,1,4968,0,52
566,1,26371,0,52
567,0,1265,23,9
568,1,12975,0,52
